"url","post_id","post_date","posted_by","post_text","comments","reposts","likes","reposted","external_links","images","videos","original_post","pinned","discovery_input","contains_video","profile_followers_count","profile_follows_count","profile_posts_count","post_type","video_thumbnails","video_duration"
"https://bsky.app/profile/edzitron.com/post/3kv7ewaectn2f","3kv7ewaectn2f","2024-06-18T14:15:56.370Z","{""handle"":""edzitron.com"",""link"":""https://bsky.app/profile/edzitron.com"",""name"":""Ed Z****n""}","I already despise this city lol",13,1,43,false,,,,"{""external_links"":{""link"":null,""title"":null},""images"":null,""post_date"":null,""post_id"":null,""post_link"":null,""post_text"":null,""posted_by"":{""handle"":null,""link"":null,""name"":null,""post_text"":null},""videos"":null}",false,"{""url"":""https://bsky.app/profile/edzitron.com""}",,,,,,,
"https://bsky.app/profile/washingtonpost.com/post/3lgqecqs7wc2c","3lgqecqs7wc2c","2025-01-27T16:28:35.845Z","{""handle"":""washingtonpost.com"",""link"":""https://bsky.app/profile/washingtonpost.com"",""name"":""The W********n P**t""}","President Donald Trump’s return to the White House is already generating turbulence at the Pentagon, where newly confirmed Defense Secretary Pete Hegseth got to work Monday on a mission to shake up the U.S. military and align it more closely with the returning president’s “America First” agenda.",64,19,93,false,"[{""link"":""https://www.washingtonpost.com/national-security/2025/01/27/hegseth-trump-military/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky"",""title"":""Hegseth, Trump’s Pentagon ‘disrupter,’ vows swift action""}]","[""https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:k5nskatzhyxersjilvtnz4lh/bafkreidw77nnkigkqzm5qnhcvuaqi5etwtxqddxunxmbjan2rg5onfej7u@jpeg""]",,"{""external_links"":{""link"":null,""title"":null},""images"":null,""post_date"":null,""post_id"":null,""post_link"":null,""post_text"":null,""posted_by"":{""handle"":null,""link"":null,""name"":null,""post_text"":null},""videos"":null}",false,"{""url"":""https://bsky.app/profile/washingtonpost.com""}",,,,,,,
"https://bsky.app/profile/politico.eu/post/3ktmx7c2pws2d","3ktmx7c2pws2d","2024-05-29T12:57:20.793Z","{""handle"":""politico.eu"",""link"":""https://bsky.app/profile/politico.eu"",""name"":""POLITICO E****e""}","Could the widely expected UK election result — a new Labour government — take the UK and EU's relationship to the next level?

That's certainly the scenario many in Brussels are now actively preparing for.",0,0,2,false,"[{""link"":""https://www.politico.eu/article/uk-election-europe-is-hoping-for-a-brexit-reset/"",""title"":""UK election: Europe is hoping for a Brexit reset""}]","[""https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:bak7f4b3jsiqlpyo6o4ejaji/bafkreihzbjf6zs7mlzy4qu4d43xhs5uyfuxc5nwy26uv5f45tdzqg5nb4i@jpeg""]",,"{""external_links"":{""link"":null,""title"":null},""images"":null,""post_date"":null,""post_id"":null,""post_link"":null,""post_text"":null,""posted_by"":{""handle"":null,""link"":null,""name"":null,""post_text"":null},""videos"":null}",false,"{""url"":""https://bsky.app/profile/politico.eu""}",,,,,,,
"https://bsky.app/profile/theguardian.com/post/3lffoogbduk2g","3lffoogbduk2g","2025-01-10T17:09:35.000Z","{""handle"":""theguardian.com"",""link"":""https://bsky.app/profile/theguardian.com"",""name"":""The G******n""}","Tory party accused of ‘bottling’ May elections as county councils seek delay",0,10,45,false,"[{""link"":""https://www.theguardian.com/politics/2025/jan/10/tory-party-conservatives-may-county-council-elections-delay?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu"",""title"":""Tory party accused of ‘bottling’ May elections as county councils seek delay""}]","[""https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:vovinwhtulbsx4mwfw26r5ni/bafkreidrp3dgsylvkqugrsyhau5glaslfwhpzbttrqirqmnzbbxvpamvni@jpeg""]",,"{""external_links"":{""link"":null,""title"":null},""images"":null,""post_date"":null,""post_id"":null,""post_link"":null,""post_text"":null,""posted_by"":{""handle"":null,""link"":null,""name"":null,""post_text"":null},""videos"":null}",false,"{""url"":""https://bsky.app/profile/theguardian.com""}",,,,,,,
"https://bsky.app/profile/noahshachtman.bsky.social/post/3l3enndvroh2l","3l3enndvroh2l","2024-09-05T01:06:32.639Z","{""handle"":""noahshachtman.bsky.social"",""link"":""https://bsky.app/profile/noahshachtman.bsky.social"",""name"":""Noah S*******n""}","Is there a BlueSky Hall of Fame yet? Or was it just founded?",4,10,104,false,,,,"{""external_links"":{""link"":null,""title"":null},""images"":null,""post_date"":""2024-09-04T23:01:46.227Z"",""post_id"":""3l3egocna6i2z"",""post_link"":""https://bsky.app/profile/theferocity.bsky.social/post/3l3egocna6i2z"",""post_text"":""I made out with Benny Johnson in an empty dressing room at BuzzFeed holiday party in 2013. It haunts me to this day. 😩\n\nAnyway, it’s funny that’s he’s done literally everything BUT come out of the closet. Men will literally become traitors to their country rather than go to therapy."",""posted_by"":{""handle"":""theferocity.bsky.social"",""link"":""https://bsky.app/profile/theferocity.bsky.social"",""name"":""Saeed Jones"",""post_text"":null},""videos"":null}",false,"{""url"":""https://bsky.app/profile/noahshachtman.bsky.social""}",,,,,,,
"https://bsky.app/profile/ktwiegman.bsky.social/post/3kx7gissedt2p","3kx7gissedt2p","2024-07-14T01:34:37.588Z","{""handle"":""ktwiegman.bsky.social"",""link"":""https://bsky.app/profile/ktwiegman.bsky.social"",""name"":""tea***cui***""}",,0,1,14,true,,"[""https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:abjmlk5zzuy4xlgd7lrj7iq3/bafkreihb46voiazr6zt6i4bhxb3kbhrbaoryym5fbnejci2uyzeuzzwqme@jpeg"",""https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:abjmlk5zzuy4xlgd7lrj7iq3/bafkreibhje3sywmpstnhelyhb6lysituoaczk4ixq5mvzazsebu5ghopme@jpeg""]",,"{""external_links"":{""link"":null,""title"":null},""images"":null,""post_date"":null,""post_id"":null,""post_link"":null,""post_text"":null,""posted_by"":{""handle"":null,""link"":null,""name"":null,""post_text"":null},""videos"":null}",false,"{""url"":""https://bsky.app/profile/anamariecox.bsky.social""}",,,,,,,
"https://bsky.app/profile/losfelizdaycare.bsky.social/post/3jzxcl5zblx23","3jzxcl5zblx23","2023-07-07T18:52:25.365Z","{""handle"":""losfelizdaycare.bsky.social"",""link"":""https://bsky.app/profile/losfelizdaycare.bsky.social"",""name"":""Los F***z D*****e""}","Positive discipline tip: instead of telling your child no, say ""thank you for your choice."" Then focus a sizable portion of your monthly income on a “for your consideration” campaign (tv and print around the house) that promotes the choice you wish your child had made.",0,1,7,true,,,,"{""external_links"":{""link"":null,""title"":null},""images"":null,""post_date"":null,""post_id"":null,""post_link"":null,""post_text"":null,""posted_by"":{""handle"":null,""link"":null,""name"":null,""post_text"":null},""videos"":null}",false,"{""url"":""https://bsky.app/profile/mrjoncryer.bsky.social""}",,,,,,,
"https://bsky.app/profile/nytimes.com/post/3kf3x75lj3r2o","3kf3x75lj3r2o","2023-11-26T14:49:17.745Z","{""handle"":""nytimes.com"",""link"":""https://bsky.app/profile/nytimes.com"",""name"":""The *** Y**k T***s""}","More than three dozen members of Congress have already said they are planning to leave their seats, setting the stage for major turnover in the 2024 election. Here’s a look at the retirements that have been announced so far.",1,13,50,false,"[{""link"":""https://www.nytimes.com/2023/11/26/us/politics/congress-retirements-list.html?smtyp=cur&smid=bsky-nytimes"",""title"":""Here Are the Members of Congress Giving Up Their Seats, Setting Up a 2024 Fight""}]","[""https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:eclio37ymobqex2ncko63h4r/bafkreicfzxey5wayd34nb3gpyq6yjzf5nqjjo6u2inwb7wvoqsyex5atdu@jpeg""]",,"{""external_links"":{""link"":null,""title"":null},""images"":null,""post_date"":null,""post_id"":null,""post_link"":null,""post_text"":null,""posted_by"":{""handle"":null,""link"":null,""name"":null,""post_text"":null},""videos"":null}",false,"{""url"":""https://bsky.app/profile/nytimes.com""}",,,,,,,
"https://bsky.app/profile/nbcnews.com/post/3leqt5v5uzc2c","3leqt5v5uzc2c","2025-01-02T10:03:55.522Z","{""handle"":""nbcnews.com"",""link"":""https://bsky.app/profile/nbcnews.com"",""name"":""NBC N**s""}","A gunman who fatally shot at least 12 people, including two children, in Montenegro has killed himself while surrounded by police, officials say.",6,30,66,true,"[{""link"":""https://www.nbcnews.com/news/world/montenegro-mass-shooting-rampage-gunman-suicide-rcna185957"",""title"":""Gunman who killed at least 12 people in a shooting rampage in Montenegro dies by suicide""}]","[""https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:wmho6q2uiyktkam3jsvrms3s/bafkreieygn7xzdydotv34sfqd5tkkdbthkcexrtc2ix5krarwxmnc2f3ui@jpeg""]",,"{""external_links"":{""link"":null,""title"":null},""images"":null,""post_date"":null,""post_id"":null,""post_link"":null,""post_text"":null,""posted_by"":{""handle"":null,""link"":null,""name"":null,""post_text"":null},""videos"":null}",false,"{""url"":""https://bsky.app/profile/dahlialithwick.bsky.social""}",,,,,,,
"https://bsky.app/profile/pkrugman.bsky.social/post/3lc4wpqlj4q2a","3lc4wpqlj4q2a","2022-06-26T12:34:25.000Z","{""handle"":""pkrugman.bsky.social"",""link"":""https://bsky.app/profile/pkrugman.bsky.social"",""name"":""Paul K*****n""}","Now, Goldman Sachs is making a curious argument (no link): That inflation expectations will rise because of ""the coming barrage of political advertisements highlighting high inflation ahead of the midterm elections"" 11/",1,0,0,false,,,,"{""external_links"":{""link"":null,""title"":null},""images"":null,""post_date"":null,""post_id"":null,""post_link"":null,""post_text"":null,""posted_by"":{""handle"":null,""link"":null,""name"":null,""post_text"":null},""videos"":null}",false,"{""url"":""https://bsky.app/profile/pkrugman.bsky.social""}",,,,,,,
